Interests,Accessibility,Site Name,Sites Visited,Age_Group,Tour_Duration_Pref,Rating_Category,Response_Speed,Accuracy_Level,VR_Quality,Satisfaction_Level
"History, Architecture, Art",True,Colosseum,Machu Picchu,26-35,Larga(8-10h),Medio,Normal,Media,Buena,Media
Cultural,True,Taj Mahal,"Eiffel Tower, Machu Picchu, Great Wall of China",46-55,Media(5-7h),Bajo,Lento,Alta,Excelente,Media
Nature,False,Eiffel Tower,"Eiffel Tower, Taj Mahal, Machu Picchu",26-35,Corta(1-4h),Alto,Normal,Media,Buena,Alta
"History, Cultural",True,Colosseum,"Great Wall of China, Taj Mahal, Colosseum",18-25,Media(5-7h),Bajo,Normal,Media,Excelente,Media
"Nature, Architecture",True,Taj Mahal,"Taj Mahal, Eiffel Tower, Great Wall of China",26-35,Media(5-7h),Alto,Normal,Media,Buena,Alta
Art,False,Colosseum,Taj Mahal,56+,Corta(1-4h),Medio,Normal,Alta,Excelente,Media
"Architecture, History",False,Colosseum,Taj Mahal,36-45,Larga(8-10h),Medio,Lento,Media,Buena,Media
Nature,False,Machu Picchu,Eiffel Tower,46-55,Media(5-7h),Bajo,Normal,Media,Excelente,Media
"Art, Cultural, History",True,Taj Mahal,"Colosseum, Machu Picchu, Taj Mahal",18-25,Larga(8-10h),Alto,Rápido,Media,Buena,Alta
"Cultural, History",False,Taj Mahal,Machu Picchu,36-45,Corta(1-4h),Alto,Rápido,Media,Buena,Alta
"Art, Cultural, Architecture",True,Eiffel Tower,"Eiffel Tower, Great Wall of China, Colosseum",18-25,Media(5-7h),Medio,Rápido,Media,Excelente,Media
Architecture,False,Colosseum,Eiffel Tower,46-55,Media(5-7h),Bajo,Lento,Media,Buena,Media
"History, Art",False,Machu Picchu,Eiffel Tower,18-25,Media(5-7h),Alto,Rápido,Media,Buena,Alta
"Architecture, Nature, Art",False,Machu Picchu,"Colosseum, Great Wall of China, Machu Picchu",18-25,Media(5-7h),Alto,Rápido,Alta,Buena,Alta
Cultural,False,Machu Picchu,"Eiffel Tower, Taj Mahal",18-25,Corta(1-4h),Alto,Lento,Media,Excelente,Alta
"Cultural, Nature",False,Machu Picchu,"Taj Mahal, Great Wall of China, Eiffel Tower",36-45,Media(5-7h),Medio,Rápido,Alta,Excelente,Media
"History, Architecture, Nature",False,Machu Picchu,"Eiffel Tower, Colosseum, Machu Picchu",36-45,Media(5-7h),Alto,Lento,Alta,Regular,Alta
"Art, Architecture",True,Great Wall of China,"Colosseum, Eiffel Tower",56+,Media(5-7h),Bajo,Normal,Alta,Excelente,Media
"Nature, History",False,Taj Mahal,Great Wall of China,36-45,Media(5-7h),Bajo,Lento,Baja,Buena,Media
"Nature, Architecture",False,Great Wall of China,Machu Picchu,46-55,Media(5-7h),Medio,Lento,Media,Buena,Media
"History, Architecture",False,Great Wall of China,"Machu Picchu, Colosseum, Eiffel Tower",26-35,Corta(1-4h),Alto,Normal,Alta,Excelente,Alta
"Art, History",False,Machu Picchu,"Eiffel Tower, Colosseum",56+,Corta(1-4h),Bajo,Lento,Alta,Excelente,Media
Nature,True,Machu Picchu,"Colosseum, Eiffel Tower",56+,Corta(1-4h),Bajo,Normal,Alta,Buena,Media
Art,False,Colosseum,"Great Wall of China, Taj Mahal",36-45,Media(5-7h),Medio,Normal,Media,Excelente,Alta
Architecture,True,Great Wall of China,"Machu Picchu, Colosseum, Taj Mahal",18-25,Media(5-7h),Bajo,Normal,Alta,Buena,Media
"History, Art, Architecture",True,Colosseum,Machu Picchu,56+,Larga(8-10h),Bajo,Rápido,Alta,Excelente,Media
"Cultural, History",True,Machu Picchu,"Taj Mahal, Machu Picchu, Great Wall of China",56+,Corta(1-4h),Alto,Lento,Media,Excelente,Alta
Art,False,Machu Picchu,"Colosseum, Eiffel Tower, Great Wall of China",36-45,Corta(1-4h),Medio,Rápido,Media,Excelente,Media
History,True,Taj Mahal,"Machu Picchu, Great Wall of China, Taj Mahal",18-25,Corta(1-4h),Alto,Lento,Baja,Excelente,Alta
History,False,Colosseum,Taj Mahal,56+,Media(5-7h),Medio,Lento,Media,Excelente,Media
"Cultural, History, Architecture",True,Eiffel Tower,"Machu Picchu, Great Wall of China",56+,Media(5-7h),Bajo,Normal,Alta,Buena,Media
Art,True,Colosseum,"Taj Mahal, Colosseum, Machu Picchu",46-55,Larga(8-10h),Alto,Rápido,Media,Excelente,Alta
Art,True,Colosseum,"Great Wall of China, Taj Mahal",36-45,Corta(1-4h),Alto,Rápido,Media,Excelente,Alta
"Nature, Architecture, History",False,Taj Mahal,"Taj Mahal, Great Wall of China",26-35,Corta(1-4h),Bajo,Lento,Alta,Buena,Media
"Art, Architecture, Cultural",True,Eiffel Tower,"Great Wall of China, Machu Picchu",36-45,Larga(8-10h),Bajo,Rápido,Baja,Excelente,Media
Architecture,True,Colosseum,"Machu Picchu, Great Wall of China",26-35,Corta(1-4h),Medio,Normal,Alta,Buena,Media
"Nature, Art, Architecture",False,Great Wall of China,Colosseum,26-35,Corta(1-4h),Alto,Normal,Media,Buena,Alta
"History, Nature",False,Colosseum,Great Wall of China,36-45,Corta(1-4h),Alto,Lento,Alta,Buena,Alta
Art,True,Great Wall of China,Eiffel Tower,46-55,Media(5-7h),Alto,Lento,Alta,Excelente,Alta
"Nature, Cultural",True,Eiffel Tower,"Machu Picchu, Eiffel Tower, Taj Mahal",46-55,Corta(1-4h),Alto,Lento,Alta,Excelente,Alta
"Cultural, History, Art",False,Machu Picchu,"Colosseum, Taj Mahal, Eiffel Tower",56+,Media(5-7h),Medio,Lento,Alta,Regular,Media
History,True,Colosseum,Colosseum,26-35,Corta(1-4h),Medio,Normal,Alta,Excelente,Media
Cultural,True,Machu Picchu,"Colosseum, Machu Picchu, Eiffel Tower",26-35,Media(5-7h),Alto,Normal,Media,Excelente,Alta
Nature,True,Taj Mahal,"Machu Picchu, Eiffel Tower",46-55,Corta(1-4h),Medio,Rápido,Alta,Buena,Media
Art,True,Great Wall of China,"Machu Picchu, Eiffel Tower",36-45,Media(5-7h),Medio,Lento,Media,Buena,Media
"Nature, Cultural, Architecture",False,Eiffel Tower,"Machu Picchu, Eiffel Tower, Taj Mahal",56+,Media(5-7h),Alto,Rápido,Media,Excelente,Alta
"Art, Nature, Cultural",True,Eiffel Tower,"Eiffel Tower, Colosseum",36-45,Larga(8-10h),Medio,Rápido,Media,Excelente,Alta
"Art, Cultural, Architecture",True,Taj Mahal,"Machu Picchu, Eiffel Tower",18-25,Media(5-7h),Alto,Lento,Media,Buena,Alta
"Architecture, Cultural",False,Machu Picchu,"Great Wall of China, Taj Mahal, Machu Picchu",46-55,Media(5-7h),Alto,Rápido,Baja,Buena,Alta
History,True,Colosseum,"Great Wall of China, Colosseum",26-35,Corta(1-4h),Medio,Lento,Media,Regular,Media
"Art, Architecture, Nature",False,Eiffel Tower,Great Wall of China,26-35,Corta(1-4h),Bajo,Lento,Media,Buena,Media
Art,False,Colosseum,Great Wall of China,26-35,Media(5-7h),Alto,Rápido,Alta,Excelente,Alta
"Nature, Cultural, Art",True,Colosseum,"Machu Picchu, Colosseum, Taj Mahal",56+,Media(5-7h),Alto,Rápido,Alta,Excelente,Alta
"Architecture, Cultural",False,Machu Picchu,"Colosseum, Great Wall of China, Machu Picchu",26-35,Corta(1-4h),Bajo,Normal,Alta,Excelente,Media
"Architecture, Art, Cultural",True,Machu Picchu,"Taj Mahal, Great Wall of China",56+,Corta(1-4h),Medio,Rápido,Media,Buena,Media
Nature,False,Colosseum,Great Wall of China,26-35,Larga(8-10h),Bajo,Rápido,Media,Buena,Media
Art,False,Colosseum,"Colosseum, Taj Mahal, Great Wall of China",46-55,Larga(8-10h),Medio,Rápido,Media,Buena,Alta
"Nature, History, Architecture",False,Machu Picchu,"Machu Picchu, Eiffel Tower",26-35,Corta(1-4h),Medio,Normal,Alta,Excelente,Media
Art,True,Taj Mahal,"Eiffel Tower, Colosseum, Machu Picchu",26-35,Media(5-7h),Bajo,Lento,Media,Excelente,Media
Art,False,Great Wall of China,Eiffel Tower,56+,Media(5-7h),Alto,Rápido,Baja,Buena,Alta
"Nature, Architecture",True,Great Wall of China,"Great Wall of China, Eiffel Tower",46-55,Corta(1-4h),Bajo,Normal,Alta,Buena,Media
"Nature, Art",True,Machu Picchu,"Machu Picchu, Eiffel Tower",56+,Larga(8-10h),Alto,Lento,Alta,Buena,Alta
"Nature, Cultural, Architecture",False,Colosseum,Great Wall of China,56+,Corta(1-4h),Bajo,Normal,Media,Buena,Media
"Architecture, Cultural",False,Eiffel Tower,Taj Mahal,46-55,Larga(8-10h),Alto,Rápido,Baja,Excelente,Alta
Cultural,True,Colosseum,"Machu Picchu, Colosseum, Great Wall of China",36-45,Media(5-7h),Alto,Normal,Media,Buena,Alta
Nature,False,Colosseum,Colosseum,56+,Media(5-7h),Medio,Normal,Media,Excelente,Media
Nature,True,Colosseum,Great Wall of China,46-55,Larga(8-10h),Alto,Lento,Media,Buena,Alta
"History, Architecture, Cultural",True,Great Wall of China,"Colosseum, Great Wall of China, Eiffel Tower",46-55,Larga(8-10h),Bajo,Lento,Media,Regular,Media
"Art, History, Architecture",True,Great Wall of China,"Eiffel Tower, Machu Picchu, Colosseum",26-35,Larga(8-10h),Alto,Normal,Alta,Excelente,Alta
"Cultural, History, Nature",True,Colosseum,Taj Mahal,46-55,Media(5-7h),Bajo,Lento,Alta,Buena,Media
"Nature, History",True,Taj Mahal,Eiffel Tower,26-35,Media(5-7h),Medio,Rápido,Alta,Excelente,Media
"Cultural, History, Architecture",True,Colosseum,Eiffel Tower,36-45,Media(5-7h),Alto,Normal,Alta,Regular,Alta
Cultural,True,Great Wall of China,"Great Wall of China, Eiffel Tower, Colosseum",18-25,Corta(1-4h),Bajo,Lento,Media,Buena,Media
"Nature, Art, Architecture",True,Eiffel Tower,"Colosseum, Taj Mahal, Eiffel Tower",26-35,Media(5-7h),Alto,Lento,Alta,Regular,Alta
"History, Architecture",True,Eiffel Tower,Eiffel Tower,26-35,Media(5-7h),Bajo,Rápido,Media,Buena,Media
"Art, Architecture",True,Colosseum,"Eiffel Tower, Taj Mahal, Colosseum",46-55,Larga(8-10h),Alto,Rápido,Media,Excelente,Alta
"Nature, Architecture, History",False,Machu Picchu,Great Wall of China,46-55,Media(5-7h),Medio,Normal,Media,Excelente,Media
"Cultural, Art, Nature",True,Taj Mahal,"Eiffel Tower, Colosseum",56+,Larga(8-10h),Alto,Lento,Baja,Excelente,Alta
"History, Nature, Architecture",True,Eiffel Tower,"Colosseum, Taj Mahal",56+,Corta(1-4h),Medio,Rápido,Alta,Excelente,Alta
"Cultural, Nature",True,Machu Picchu,"Colosseum, Taj Mahal",46-55,Media(5-7h),Medio,Rápido,Media,Excelente,Media
History,True,Eiffel Tower,"Machu Picchu, Colosseum, Eiffel Tower",46-55,Media(5-7h),Alto,Lento,Media,Excelente,Alta
"History, Nature, Architecture",False,Machu Picchu,"Great Wall of China, Machu Picchu, Colosseum",36-45,Media(5-7h),Bajo,Normal,Media,Buena,Media
Cultural,True,Colosseum,Eiffel Tower,18-25,Corta(1-4h),Medio,Rápido,Media,Buena,Media
"Nature, Cultural",False,Eiffel Tower,"Taj Mahal, Eiffel Tower",26-35,Corta(1-4h),Alto,Normal,Baja,Excelente,Alta
"Cultural, History, Architecture",False,Great Wall of China,"Eiffel Tower, Taj Mahal",46-55,Larga(8-10h),Alto,Lento,Media,Excelente,Alta
Architecture,False,Eiffel Tower,"Taj Mahal, Machu Picchu, Colosseum",18-25,Larga(8-10h),Bajo,Normal,Alta,Buena,Media
Cultural,False,Colosseum,"Eiffel Tower, Colosseum",46-55,Media(5-7h),Medio,Normal,Alta,Excelente,Media
"Art, Architecture, History",True,Great Wall of China,Eiffel Tower,26-35,Corta(1-4h),Alto,Lento,Media,Buena,Alta
History,False,Colosseum,"Great Wall of China, Eiffel Tower, Colosseum",18-25,Media(5-7h),Alto,Lento,Baja,Buena,Alta
"Cultural, Art",False,Eiffel Tower,"Machu Picchu, Eiffel Tower, Colosseum",46-55,Corta(1-4h),Alto,Lento,Alta,Buena,Alta
Cultural,True,Colosseum,Colosseum,46-55,Media(5-7h),Medio,Normal,Media,Buena,Media
"Art, Cultural",False,Taj Mahal,Great Wall of China,18-25,Corta(1-4h),Bajo,Lento,Media,Buena,Media
"Art, Cultural, Architecture",False,Taj Mahal,"Eiffel Tower, Machu Picchu, Great Wall of China",56+,Larga(8-10h),Bajo,Rápido,Media,Buena,Media
"Nature, Art",False,Great Wall of China,"Great Wall of China, Machu Picchu, Colosseum",36-45,Media(5-7h),Alto,Lento,Media,Buena,Alta
"Architecture, History",False,Great Wall of China,"Machu Picchu, Taj Mahal, Eiffel Tower",26-35,Corta(1-4h),Bajo,Normal,Alta,Buena,Media
"Nature, Architecture",True,Taj Mahal,"Taj Mahal, Great Wall of China, Machu Picchu",46-55,Media(5-7h),Alto,Lento,Media,Buena,Alta
"History, Architecture, Art",False,Eiffel Tower,Eiffel Tower,46-55,Media(5-7h),Alto,Lento,Alta,Buena,Alta
"Architecture, Cultural",False,Machu Picchu,Eiffel Tower,36-45,Corta(1-4h),Bajo,Lento,Media,Buena,Media
"History, Architecture",False,Great Wall of China,"Taj Mahal, Colosseum, Eiffel Tower",36-45,Media(5-7h),Bajo,Lento,Media,Buena,Media
"Art, Cultural, Nature",True,Colosseum,"Taj Mahal, Great Wall of China, Eiffel Tower",18-25,Media(5-7h),Bajo,Rápido,Media,Regular,Media
"Cultural, Art",False,Machu Picchu,"Great Wall of China, Taj Mahal, Machu Picchu",46-55,Media(5-7h),Bajo,Lento,Media,Excelente,Media
"Art, Architecture",False,Great Wall of China,"Taj Mahal, Eiffel Tower, Machu Picchu",56+,Media(5-7h),Alto,Lento,Media,Excelente,Alta
"Cultural, Nature",False,Colosseum,"Colosseum, Taj Mahal",46-55,Corta(1-4h),Alto,Normal,Media,Excelente,Alta
"Nature, History, Cultural",True,Colosseum,"Machu Picchu, Great Wall of China",46-55,Corta(1-4h),Alto,Rápido,Media,Buena,Alta
History,False,Colosseum,"Taj Mahal, Colosseum",18-25,Corta(1-4h),Bajo,Lento,Alta,Buena,Media
Architecture,False,Great Wall of China,"Machu Picchu, Great Wall of China, Eiffel Tower",36-45,Media(5-7h),Medio,Lento,Media,Buena,Media
"Art, Architecture, History",True,Taj Mahal,Colosseum,46-55,Media(5-7h),Alto,Lento,Baja,Excelente,Alta
"Cultural, Art, Nature",False,Colosseum,Eiffel Tower,26-35,Larga(8-10h),Alto,Lento,Alta,Buena,Alta
"Nature, Art, History",False,Taj Mahal,Eiffel Tower,26-35,Media(5-7h),Medio,Lento,Baja,Buena,Media
"History, Cultural, Architecture",True,Colosseum,"Eiffel Tower, Colosseum",36-45,Larga(8-10h),Alto,Lento,Alta,Excelente,Alta
"History, Cultural, Nature",False,Eiffel Tower,"Great Wall of China, Taj Mahal",26-35,Corta(1-4h),Alto,Lento,Media,Buena,Alta
"Art, Nature, History",True,Colosseum,"Eiffel Tower, Machu Picchu, Taj Mahal",26-35,Corta(1-4h),Alto,Rápido,Alta,Buena,Alta
Architecture,True,Colosseum,"Eiffel Tower, Machu Picchu, Great Wall of China",36-45,Media(5-7h),Medio,Lento,Alta,Buena,Media
"History, Art",False,Great Wall of China,Colosseum,18-25,Media(5-7h),Alto,Lento,Media,Excelente,Alta
Nature,False,Taj Mahal,"Colosseum, Great Wall of China, Eiffel Tower",46-55,Corta(1-4h),Alto,Lento,Alta,Excelente,Alta
Cultural,False,Great Wall of China,"Machu Picchu, Taj Mahal, Eiffel Tower",56+,Media(5-7h),Alto,Lento,Media,Excelente,Alta
History,True,Taj Mahal,Taj Mahal,56+,Media(5-7h),Bajo,Lento,Media,Excelente,Media
Nature,False,Great Wall of China,Machu Picchu,26-35,Media(5-7h),Alto,Normal,Alta,Buena,Alta
"History, Art, Nature",False,Eiffel Tower,"Great Wall of China, Machu Picchu, Eiffel Tower",26-35,Media(5-7h),Alto,Normal,Media,Excelente,Alta
Architecture,True,Machu Picchu,Colosseum,36-45,Media(5-7h),Medio,Lento,Baja,Buena,Media
"Nature, History, Art",False,Great Wall of China,"Eiffel Tower, Machu Picchu",56+,Media(5-7h),Alto,Normal,Alta,Buena,Alta
Art,True,Colosseum,Eiffel Tower,26-35,Media(5-7h),Bajo,Normal,Media,Buena,Media
Cultural,False,Eiffel Tower,"Great Wall of China, Machu Picchu, Eiffel Tower",56+,Media(5-7h),Medio,Lento,Media,Buena,Media
"History, Art, Nature",False,Taj Mahal,Machu Picchu,36-45,Larga(8-10h),Alto,Lento,Media,Excelente,Alta
"Cultural, Architecture, Nature",False,Taj Mahal,"Machu Picchu, Great Wall of China, Colosseum",36-45,Larga(8-10h),Alto,Lento,Baja,Buena,Alta
"Art, Architecture, Cultural",True,Machu Picchu,"Eiffel Tower, Taj Mahal",36-45,Media(5-7h),Alto,Normal,Media,Buena,Alta
Nature,False,Great Wall of China,"Colosseum, Great Wall of China, Eiffel Tower",18-25,Corta(1-4h),Bajo,Normal,Alta,Buena,Media
"Architecture, Art, History",False,Eiffel Tower,"Machu Picchu, Eiffel Tower",46-55,Corta(1-4h),Alto,Normal,Alta,Excelente,Alta
"Art, Cultural, Nature",False,Eiffel Tower,"Colosseum, Taj Mahal, Machu Picchu",26-35,Media(5-7h),Alto,Lento,Media,Buena,Alta
"Architecture, Nature",True,Great Wall of China,"Great Wall of China, Machu Picchu, Colosseum",46-55,Larga(8-10h),Medio,Rápido,Media,Buena,Media
History,False,Machu Picchu,"Eiffel Tower, Machu Picchu, Great Wall of China",46-55,Media(5-7h),Bajo,Rápido,Alta,Excelente,Media
"Cultural, Art",False,Eiffel Tower,"Great Wall of China, Colosseum",56+,Larga(8-10h),Medio,Lento,Alta,Buena,Media
"Architecture, Art, Nature",False,Taj Mahal,"Eiffel Tower, Colosseum, Machu Picchu",56+,Corta(1-4h),Medio,Lento,Media,Excelente,Media
Art,False,Eiffel Tower,"Taj Mahal, Colosseum",18-25,Media(5-7h),Bajo,Lento,Media,Excelente,Media
"Nature, Cultural, Architecture",True,Colosseum,"Great Wall of China, Machu Picchu",26-35,Media(5-7h),Medio,Rápido,Media,Excelente,Alta
"Art, Nature, History",True,Colosseum,"Eiffel Tower, Great Wall of China",36-45,Media(5-7h),Bajo,Normal,Media,Buena,Media
"Cultural, Architecture, Nature",False,Taj Mahal,Taj Mahal,36-45,Media(5-7h),Alto,Rápido,Media,Buena,Alta
"Art, History",False,Machu Picchu,"Taj Mahal, Colosseum",26-35,Media(5-7h),Alto,Rápido,Alta,Excelente,Alta
Cultural,True,Great Wall of China,"Colosseum, Eiffel Tower",26-35,Media(5-7h),Bajo,Lento,Alta,Buena,Media
"History, Nature",False,Machu Picchu,Colosseum,46-55,Media(5-7h),Medio,Normal,Media,Buena,Media
"Architecture, Nature, Art",False,Eiffel Tower,"Machu Picchu, Great Wall of China",26-35,Media(5-7h),Alto,Lento,Alta,Excelente,Alta
"Nature, Cultural",True,Eiffel Tower,Taj Mahal,36-45,Corta(1-4h),Alto,Rápido,Media,Regular,Alta
"Cultural, Architecture",False,Colosseum,"Colosseum, Great Wall of China, Eiffel Tower",18-25,Corta(1-4h),Alto,Lento,Media,Buena,Alta
History,False,Taj Mahal,"Machu Picchu, Great Wall of China, Eiffel Tower",26-35,Media(5-7h),Alto,Rápido,Media,Buena,Alta
"Nature, History",True,Taj Mahal,"Machu Picchu, Eiffel Tower",36-45,Corta(1-4h),Medio,Rápido,Media,Buena,Media
"Art, Nature",False,Machu Picchu,Great Wall of China,56+,Corta(1-4h),Bajo,Lento,Media,Buena,Media
"Architecture, Art",True,Taj Mahal,"Taj Mahal, Colosseum",26-35,Larga(8-10h),Alto,Normal,Alta,Excelente,Alta
"Architecture, History",False,Colosseum,Eiffel Tower,18-25,Media(5-7h),Medio,Lento,Alta,Excelente,Media
"Art, History",False,Great Wall of China,"Eiffel Tower, Taj Mahal",26-35,Larga(8-10h),Medio,Lento,Media,Excelente,Media
Art,False,Machu Picchu,Machu Picchu,18-25,Corta(1-4h),Bajo,Rápido,Alta,Buena,Media
"Architecture, History",True,Colosseum,"Great Wall of China, Colosseum, Machu Picchu",26-35,Media(5-7h),Medio,Rápido,Alta,Excelente,Media
"Art, History, Cultural",False,Great Wall of China,"Colosseum, Eiffel Tower",56+,Media(5-7h),Alto,Lento,Baja,Buena,Alta
"Art, Architecture, Nature",True,Machu Picchu,"Colosseum, Taj Mahal",46-55,Corta(1-4h),Medio,Normal,Media,Excelente,Media
Nature,True,Colosseum,"Machu Picchu, Colosseum",18-25,Corta(1-4h),Bajo,Lento,Media,Excelente,Media
"Nature, Architecture, Art",True,Taj Mahal,Taj Mahal,26-35,Media(5-7h),Alto,Rápido,Media,Excelente,Alta
"Nature, Cultural, Art",True,Taj Mahal,"Colosseum, Great Wall of China",26-35,Corta(1-4h),Medio,Normal,Media,Excelente,Media
"Art, History, Cultural",True,Taj Mahal,Machu Picchu,26-35,Media(5-7h),Alto,Rápido,Media,Buena,Alta
Cultural,False,Machu Picchu,"Great Wall of China, Colosseum",56+,Corta(1-4h),Alto,Lento,Baja,Buena,Alta
"Nature, Architecture",True,Great Wall of China,"Colosseum, Taj Mahal",46-55,Media(5-7h),Bajo,Rápido,Media,Buena,Media
Architecture,False,Machu Picchu,Taj Mahal,56+,Larga(8-10h),Alto,Normal,Media,Buena,Alta
"Cultural, History, Architecture",True,Eiffel Tower,"Colosseum, Great Wall of China",56+,Media(5-7h),Alto,Normal,Media,Buena,Alta
Art,True,Machu Picchu,Machu Picchu,56+,Corta(1-4h),Medio,Normal,Media,Excelente,Media
"History, Architecture, Cultural",True,Machu Picchu,"Colosseum, Machu Picchu",46-55,Corta(1-4h),Medio,Rápido,Media,Buena,Media
Cultural,False,Eiffel Tower,"Great Wall of China, Machu Picchu, Taj Mahal",36-45,Media(5-7h),Bajo,Normal,Media,Buena,Media
Art,False,Great Wall of China,"Machu Picchu, Taj Mahal, Eiffel Tower",26-35,Larga(8-10h),Bajo,Lento,Media,Excelente,Media
History,False,Machu Picchu,"Eiffel Tower, Great Wall of China, Taj Mahal",26-35,Larga(8-10h),Bajo,Rápido,Media,Buena,Media
Architecture,True,Eiffel Tower,"Eiffel Tower, Taj Mahal",36-45,Media(5-7h),Medio,Lento,Alta,Excelente,Media
"Art, Nature",False,Machu Picchu,"Machu Picchu, Taj Mahal, Great Wall of China",36-45,Media(5-7h),Medio,Rápido,Media,Buena,Media
"Nature, Architecture",False,Great Wall of China,"Great Wall of China, Machu Picchu, Eiffel Tower",56+,Corta(1-4h),Alto,Normal,Alta,Buena,Alta
"Cultural, History",True,Great Wall of China,Colosseum,18-25,Media(5-7h),Alto,Lento,Media,Buena,Alta
"History, Nature, Architecture",True,Colosseum,"Great Wall of China, Eiffel Tower",36-45,Corta(1-4h),Medio,Normal,Media,Excelente,Media
History,True,Eiffel Tower,"Eiffel Tower, Machu Picchu",56+,Corta(1-4h),Bajo,Normal,Baja,Regular,Media
"Art, Cultural",False,Eiffel Tower,"Eiffel Tower, Machu Picchu",56+,Media(5-7h),Medio,Rápido,Media,Excelente,Media
Architecture,False,Machu Picchu,"Great Wall of China, Taj Mahal",46-55,Media(5-7h),Bajo,Rápido,Media,Excelente,Media
"Art, Cultural, Nature",False,Eiffel Tower,Machu Picchu,46-55,Media(5-7h),Alto,Lento,Alta,Excelente,Alta
Nature,True,Colosseum,"Great Wall of China, Eiffel Tower, Taj Mahal",26-35,Corta(1-4h),Alto,Normal,Media,Buena,Alta
"Cultural, Nature, History",True,Machu Picchu,"Machu Picchu, Great Wall of China, Taj Mahal",26-35,Corta(1-4h),Bajo,Normal,Media,Excelente,Media
"History, Cultural",False,Eiffel Tower,Great Wall of China,56+,Media(5-7h),Medio,Lento,Media,Buena,Media
"Cultural, History, Art",False,Great Wall of China,Machu Picchu,26-35,Larga(8-10h),Alto,Lento,Media,Buena,Alta
"History, Cultural, Art",True,Great Wall of China,Taj Mahal,36-45,Media(5-7h),Bajo,Rápido,Media,Buena,Media
Nature,True,Machu Picchu,"Machu Picchu, Eiffel Tower",56+,Corta(1-4h),Medio,Lento,Media,Buena,Media
"Cultural, History",False,Colosseum,"Colosseum, Machu Picchu, Great Wall of China",26-35,Corta(1-4h),Medio,Normal,Media,Excelente,Media
"Cultural, Architecture",True,Colosseum,"Eiffel Tower, Machu Picchu, Colosseum",46-55,Media(5-7h),Alto,Normal,Media,Buena,Alta
Nature,False,Colosseum,"Machu Picchu, Colosseum, Great Wall of China",36-45,Corta(1-4h),Medio,Rápido,Media,Excelente,Media
"Art, History",True,Machu Picchu,Machu Picchu,46-55,Corta(1-4h),Alto,Normal,Alta,Excelente,Alta
Nature,True,Machu Picchu,"Taj Mahal, Great Wall of China",26-35,Media(5-7h),Medio,Lento,Media,Excelente,Media
"Architecture, History",True,Machu Picchu,"Great Wall of China, Eiffel Tower",36-45,Media(5-7h),Medio,Lento,Media,Buena,Media
"Art, History, Nature",False,Machu Picchu,Colosseum,46-55,Larga(8-10h),Medio,Normal,Alta,Excelente,Media
History,True,Colosseum,Colosseum,56+,Larga(8-10h),Alto,Lento,Alta,Excelente,Alta
"Art, Cultural, Architecture",True,Colosseum,"Eiffel Tower, Machu Picchu",18-25,Media(5-7h),Medio,Rápido,Alta,Buena,Alta
Art,False,Great Wall of China,"Taj Mahal, Eiffel Tower",46-55,Media(5-7h),Alto,Lento,Alta,Buena,Alta
Cultural,True,Machu Picchu,Taj Mahal,46-55,Corta(1-4h),Bajo,Lento,Media,Excelente,Media
Cultural,False,Machu Picchu,"Eiffel Tower, Taj Mahal",46-55,Corta(1-4h),Alto,Lento,Media,Excelente,Alta
History,True,Eiffel Tower,"Colosseum, Eiffel Tower",56+,Larga(8-10h),Medio,Lento,Media,Excelente,Media
Cultural,True,Eiffel Tower,"Machu Picchu, Great Wall of China, Taj Mahal",26-35,Media(5-7h),Medio,Lento,Alta,Buena,Alta
"Cultural, Architecture, Art",True,Machu Picchu,"Colosseum, Eiffel Tower",46-55,Media(5-7h),Medio,Normal,Alta,Excelente,Media
Cultural,False,Great Wall of China,"Taj Mahal, Great Wall of China",56+,Media(5-7h),Medio,Normal,Media,Excelente,Media
Art,True,Colosseum,"Eiffel Tower, Colosseum",18-25,Corta(1-4h),Medio,Lento,Alta,Regular,Media
Architecture,False,Taj Mahal,Colosseum,26-35,Media(5-7h),Bajo,Lento,Alta,Regular,Media
"Architecture, History",True,Eiffel Tower,"Colosseum, Great Wall of China, Eiffel Tower",26-35,Larga(8-10h),Alto,Lento,Media,Excelente,Alta
"History, Art, Architecture",True,Taj Mahal,"Eiffel Tower, Great Wall of China",46-55,Corta(1-4h),Medio,Lento,Media,Buena,Media
Cultural,True,Colosseum,"Eiffel Tower, Taj Mahal",36-45,Corta(1-4h),Medio,Lento,Alta,Buena,Media
"Architecture, History",False,Eiffel Tower,"Machu Picchu, Taj Mahal",26-35,Corta(1-4h),Alto,Lento,Alta,Buena,Alta
"Architecture, Art, Nature",False,Great Wall of China,"Great Wall of China, Taj Mahal",56+,Media(5-7h),Medio,Normal,Media,Regular,Media
"Art, Nature, Cultural",False,Great Wall of China,Machu Picchu,36-45,Media(5-7h),Medio,Rápido,Media,Excelente,Media
"History, Art",True,Eiffel Tower,"Colosseum, Great Wall of China, Machu Picchu",18-25,Larga(8-10h),Alto,Normal,Media,Buena,Alta
"Cultural, Nature, History",True,Eiffel Tower,"Machu Picchu, Great Wall of China",18-25,Media(5-7h),Alto,Lento,Media,Excelente,Alta
"Cultural, Nature, Architecture",True,Eiffel Tower,Taj Mahal,36-45,Media(5-7h),Alto,Normal,Alta,Buena,Alta
