antecedents,consequents,support,confidence,lift
"Everyday Use, Processing & Multitasking",8 GB,0.0932,0.7273,1.2714
"DDR4, Intel, Thin and Light Laptop, Windows 10 Home",8 GB,0.1017,0.7273,1.2714
"8 GB, Core i5, Thin and Light Laptop, Windows 10 Home",Processing & Multitasking,0.0636,1.0,1.2705
"Core i5, Intel, Thin and Light Laptop, Windows 10 Home",Processing & Multitasking,0.0847,1.0,1.2705
"LPDDR4X, Thin and Light Laptop",Processing & Multitasking,0.0572,1.0,1.2705
"DDR4, Entertainment, Performance",Processing & Multitasking,0.0519,1.0,1.2705
"Core i5, Thin and Light Laptop, Windows 10 Home",Processing & Multitasking,0.0847,1.0,1.2705
"Core i5, DDR4, Thin and Light Laptop, Windows 10 Home",Processing & Multitasking,0.0752,1.0,1.2705
"8 GB, Core i5, DDR4, Thin and Light Laptop, Windows 10 Home",Processing & Multitasking,0.0583,1.0,1.2705
"Entertainment, Performance",Processing & Multitasking,0.0561,1.0,1.2705
"8 GB, Core i5, Intel, Thin and Light Laptop, Windows 10 Home",Processing & Multitasking,0.0636,1.0,1.2705
"Intel, LPDDR4X",Processing & Multitasking,0.0614,1.0,1.2705
"8 GB, Core i5, DDR4, Intel, Thin and Light Laptop, Windows 10 Home",Processing & Multitasking,0.0583,1.0,1.2705
"DDR4, Everyday Use, Performance",Processing & Multitasking,0.0551,1.0,1.2705
LPDDR4X,Processing & Multitasking,0.0847,1.0,1.2705
"Everyday Use, Performance",Processing & Multitasking,0.0604,1.0,1.2705
"Core i5, DDR4, Intel, Thin and Light Laptop, Windows 10 Home",Processing & Multitasking,0.0752,1.0,1.2705
LPDDR4X,"Intel, Processing & Multitasking",0.0614,0.725,1.2698
"DDR4, Everyday Use, Processing & Multitasking",8 GB,0.0869,0.7257,1.2686
"DDR4, Intel, Processing & Multitasking, Thin and Light Laptop, Windows 10 Home",8 GB,0.1006,0.7252,1.2677
"Core i5, Thin and Light Laptop, Windows 10 Home","8 GB, DDR4",0.0583,0.6875,1.2676
"Core i5, Intel, Processing & Multitasking, Thin and Light Laptop, Windows 10 Home","8 GB, DDR4",0.0583,0.6875,1.2676
"Core i5, Processing & Multitasking, Thin and Light Laptop, Windows 10 Home","8 GB, DDR4",0.0583,0.6875,1.2676
"Core i5, Intel, Thin and Light Laptop, Windows 10 Home","8 GB, DDR4",0.0583,0.6875,1.2676
"Processing & Multitasking, Windows 11 Home","DDR4, Thin and Light Laptop",0.1653,0.5652,1.2674
"Everyday Use, Processing & Multitasking, Windows 11 Home",8 GB,0.053,0.7246,1.2668
"8 GB, Core i5, Processing & Multitasking",Windows 10 Home,0.1006,0.5723,1.2652
"8 GB, Core i5, Intel, Processing & Multitasking",Windows 10 Home,0.1006,0.5723,1.2652
"16 GB, Thin and Light Laptop","Intel, Processing & Multitasking",0.0932,0.7213,1.2633
"Everyday Use, Intel, Processing & Multitasking","DDR4, Thin and Light Laptop",0.0519,0.5632,1.2629
Core i5,"8 GB, Processing & Multitasking",0.1758,0.5724,1.2625
"Core i5, Intel","8 GB, Processing & Multitasking",0.1758,0.5724,1.2625
"Intel, Thin and Light Laptop, Windows 10 Home",Processing & Multitasking,0.1568,0.9933,1.262
"Core i3, DDR4, Intel, Windows 11 Home","Processing & Multitasking, Thin and Light Laptop",0.053,0.5882,1.262
"Core i3, DDR4, Windows 11 Home","Processing & Multitasking, Thin and Light Laptop",0.053,0.5882,1.262
"DDR4, Intel, Thin and Light Laptop, Windows 10 Home",Processing & Multitasking,0.1388,0.9924,1.2609
"8 GB, Everyday Use, Processing & Multitasking",Thin and Light Laptop,0.0604,0.6477,1.2607
"DDR4, Thin and Light Laptop, Windows 10 Home",8 GB,0.1367,0.7207,1.2598
"DDR4, Processing & Multitasking, Thin and Light Laptop, Windows 10 Home",8 GB,0.1335,0.72,1.2587
"8 GB, Intel, Thin and Light Laptop, Windows 10 Home",Processing & Multitasking,0.1059,0.9901,1.2579
"8 GB, DDR4, Intel, Thin and Light Laptop, Windows 10 Home",Processing & Multitasking,0.1006,0.9896,1.2573
"8 GB, DDR4, Processing & Multitasking",Thin and Light Laptop,0.2744,0.6459,1.2571
Thin and Light Laptop,"8 GB, DDR4, Processing & Multitasking",0.2744,0.534,1.2571
"16 GB, Intel, Thin and Light Laptop",Processing & Multitasking,0.0932,0.9888,1.2562
"8 GB, Core i3, Windows 10 Home","DDR4, Processing & Multitasking",0.053,0.8475,1.2559
"Intel, Transparent Silver","DDR4, Processing & Multitasking",0.053,0.8475,1.2559
"8 GB, Core i3, Intel, Windows 10 Home","DDR4, Processing & Multitasking",0.053,0.8475,1.2559
"Core i5, Windows 11 Home","DDR4, Thin and Light Laptop",0.0593,0.56,1.2557
"Core i5, Intel, Windows 11 Home","DDR4, Thin and Light Laptop",0.0593,0.56,1.2557
"Core i5, Intel, Processing & Multitasking, Windows 10 Home",Thin and Light Laptop,0.0847,0.6452,1.2557
"Core i5, Processing & Multitasking, Windows 10 Home",Thin and Light Laptop,0.0847,0.6452,1.2557
"8 GB, Intel, Windows 11 Home","DDR4, Processing & Multitasking, Thin and Light Laptop",0.0784,0.5,1.2553
"8 GB, Processing & Multitasking",Thin and Light Laptop,0.2924,0.6449,1.2551
Thin and Light Laptop,"8 GB, Processing & Multitasking",0.2924,0.5691,1.2551
"Everyday Use, Intel, Processing & Multitasking",Thin and Light Laptop,0.0593,0.6437,1.2528
"Core i3, Intel, Windows 10 Home","DDR4, Processing & Multitasking",0.0752,0.8452,1.2526
"Core i3, Windows 10 Home","DDR4, Processing & Multitasking",0.0752,0.8452,1.2526
"Core i3, DDR4, Intel, Windows 10 Home","Processing & Multitasking, Thin and Light Laptop",0.0519,0.5833,1.2515
"Core i3, Windows 10 Home","Processing & Multitasking, Thin and Light Laptop",0.0519,0.5833,1.2515
"Core i3, DDR4, Windows 10 Home","Processing & Multitasking, Thin and Light Laptop",0.0519,0.5833,1.2515
"Core i3, Intel, Windows 10 Home","Processing & Multitasking, Thin and Light Laptop",0.0519,0.5833,1.2515
"16 GB, Thin and Light Laptop, Windows 11 Home",Processing & Multitasking,0.0678,0.9846,1.251
"8 GB, Core i5, Intel","DDR4, Windows 10 Home",0.1081,0.5178,1.2501
"8 GB, Core i5","DDR4, Windows 10 Home",0.1081,0.5178,1.2501
"16 GB, Thin and Light Laptop",Processing & Multitasking,0.1271,0.9836,1.2497
"Everyday Use, Processing & Multitasking","8 GB, DDR4",0.0869,0.6777,1.2495
"16 GB, Core i5, Thin and Light Laptop",Processing & Multitasking,0.0625,0.9833,1.2493
"16 GB, Core i5, Intel, Thin and Light Laptop",Processing & Multitasking,0.0625,0.9833,1.2493
Windows 10,"8 GB, Intel",0.0508,0.5161,1.2493
"Core i3, DDR4",Thin and Light Laptop,0.1367,0.6418,1.2492
"Core i3, DDR4, Intel",Thin and Light Laptop,0.1367,0.6418,1.2492
Windows 10,"8 GB, DDR4",0.0667,0.6774,1.249
"DDR4, Everyday Use, Intel, Windows 11 Home",8 GB,0.0583,0.7143,1.2487
"Everyday Use, Intel, Windows 11 Home",8 GB,0.0636,0.7143,1.2487
"8 GB, Core i3, DDR4, Intel",Thin and Light Laptop,0.1081,0.6415,1.2486
"8 GB, Core i3, DDR4",Thin and Light Laptop,0.1081,0.6415,1.2486
"DDR4, Natural Silver, Thin and Light Laptop",Processing & Multitasking,0.0583,0.9821,1.2478
"Natural Silver, Thin and Light Laptop",Processing & Multitasking,0.0583,0.9821,1.2478
"8 GB, Intel, Processing & Multitasking",Thin and Light Laptop,0.2119,0.641,1.2477
"8 GB, Intel","DDR4, Thin and Light Laptop",0.2299,0.5564,1.2476
"DDR4, Thin and Light Laptop","8 GB, Intel",0.2299,0.5154,1.2476
"Thin and Light Laptop, Transparent Silver",Processing & Multitasking,0.0561,0.9815,1.247
"DDR4, Thin and Light Laptop, Transparent Silver",Processing & Multitasking,0.0561,0.9815,1.247
"16 GB, DDR4, Intel, Thin and Light Laptop",Processing & Multitasking,0.0551,0.9811,1.2466
"Entertainment, Everyday Use",Processing & Multitasking,0.054,0.9808,1.2461
"DDR4, Intel, Windows 11 Home",Thin and Light Laptop,0.1451,0.6402,1.2461
"8 GB, DDR4, Intel, Processing & Multitasking",Thin and Light Laptop,0.196,0.6401,1.246
"8 GB, Core i5, DDR4, Intel",Windows 10 Home,0.1081,0.5635,1.2458
"8 GB, Core i5, DDR4",Windows 10 Home,0.1081,0.5635,1.2458
"Everyday Use, Intel, Processing & Multitasking",8 GB,0.0657,0.7126,1.2458
"DDR4, Everyday Use, Intel, Processing & Multitasking",8 GB,0.0604,0.7125,1.2456
"Core i3, DDR4, Thin and Light Laptop, Windows 10 Home",Processing & Multitasking,0.0519,0.98,1.2451
"Thin and Light Laptop, Windows 10 Home",Processing & Multitasking,0.2076,0.98,1.2451
"Ryzen 5 Hexa Core, Thin and Light Laptop",Processing & Multitasking,0.0519,0.98,1.2451
"Core i3, Intel, Thin and Light Laptop, Windows 10 Home",Processing & Multitasking,0.0519,0.98,1.2451
"AMD, Ryzen 5 Hexa Core, Thin and Light Laptop",Processing & Multitasking,0.0519,0.98,1.2451
"DDR4, Entertainment, Everyday Use",Processing & Multitasking,0.0519,0.98,1.2451
"Core i3, Thin and Light Laptop, Windows 10 Home",Processing & Multitasking,0.0519,0.98,1.2451
"Core i3, DDR4, Intel, Thin and Light Laptop, Windows 10 Home",Processing & Multitasking,0.0519,0.98,1.2451
"DDR4, Thin and Light Laptop, Windows 11 Home","8 GB, Intel",0.0996,0.5137,1.2433
"8 GB, Core i5, Intel, Processing & Multitasking","DDR4, Thin and Light Laptop",0.0975,0.5542,1.2427
"8 GB, Core i5, Processing & Multitasking","DDR4, Thin and Light Laptop",0.0975,0.5542,1.2427
"8 GB, Thin and Light Laptop, Windows 10 Home",Processing & Multitasking,0.1409,0.9779,1.2425
"16 GB, Gaming, Gaming Laptop",Windows 10 Home,0.0625,0.5619,1.2422
"DDR4, Thin and Light Laptop, Windows 10 Home",Processing & Multitasking,0.1854,0.9777,1.2421
"8 GB, DDR4, Thin and Light Laptop, Windows 10 Home",Processing & Multitasking,0.1335,0.9767,1.241
"Intel, Processing & Multitasking, Windows 11 Home","DDR4, Thin and Light Laptop",0.1208,0.5534,1.2409
"Everyday Use, Processing & Multitasking","8 GB, Intel",0.0657,0.5124,1.2403
"Core i5, Processing & Multitasking, Windows 11 Home","DDR4, Intel",0.0678,0.7619,1.2401
"8 GB, Intel, Processing & Multitasking, Windows 10 Home",Thin and Light Laptop,0.1059,0.6369,1.2397
"Core i5, Processing & Multitasking","DDR4, Thin and Light Laptop",0.1451,0.5524,1.2387
"Core i5, Intel, Processing & Multitasking","DDR4, Thin and Light Laptop",0.1451,0.5524,1.2387
"16 GB, DDR4, Thin and Light Laptop",Processing & Multitasking,0.0805,0.9744,1.2379
"Core i5, Thin and Light Laptop","8 GB, DDR4, Processing & Multitasking",0.0975,0.5257,1.2376
"Core i5, Intel, Thin and Light Laptop","8 GB, DDR4, Processing & Multitasking",0.0975,0.5257,1.2376
8 GB,"DDR4, Thin and Light Laptop",0.3157,0.5519,1.2374
"DDR4, Thin and Light Laptop",8 GB,0.3157,0.7078,1.2374
"AMD, DDR4, Thin and Light Laptop",8 GB,0.0742,0.7071,1.2361
"Core i3, Intel, Windows 11 Home","Processing & Multitasking, Thin and Light Laptop",0.0561,0.5761,1.236
"Core i5, DDR4, Intel",8 GB,0.1917,0.707,1.236
"Core i3, Windows 11 Home","Processing & Multitasking, Thin and Light Laptop",0.0561,0.5761,1.236
"Core i5, DDR4",8 GB,0.1917,0.707,1.236
Core i3,Thin and Light Laptop,0.1398,0.6346,1.2352
"Core i3, Intel",Thin and Light Laptop,0.1398,0.6346,1.2352
"Processing & Multitasking, Thin and Light Laptop, Windows 10 Home","8 GB, Intel",0.1059,0.5102,1.235
"AMD, Thin and Light Laptop","DDR4, Processing & Multitasking",0.0953,0.8333,1.235
"AMD, Processing & Multitasking",Windows 10 Home,0.1112,0.5585,1.2347
Performance,Processing & Multitasking,0.0731,0.9718,1.2347
"Core i5, DDR4, Intel, Processing & Multitasking",Thin and Light Laptop,0.1451,0.6343,1.2345
"Core i5, DDR4, Processing & Multitasking",Thin and Light Laptop,0.1451,0.6343,1.2345
"DDR4, Transparent Silver","Intel, Processing & Multitasking",0.053,0.7042,1.2334
"8 GB, Windows 10 Home","DDR4, Intel, Processing & Multitasking",0.16,0.5968,1.2329
"Core i5, Thin and Light Laptop, Windows 11 Home","DDR4, Intel",0.0593,0.7568,1.2317
"8 GB, Core i3, Intel",Thin and Light Laptop,0.1112,0.6325,1.2312
"8 GB, Core i3",Thin and Light Laptop,0.1112,0.6325,1.2312
"Core i3, Processing & Multitasking, Windows 10 Home",8 GB,0.053,0.7042,1.2311
"Core i3, Intel, Processing & Multitasking, Windows 10 Home",8 GB,0.053,0.7042,1.2311
"Core i3, DDR4, Processing & Multitasking, Windows 10 Home",8 GB,0.053,0.7042,1.2311
"Core i3, DDR4, Intel, Processing & Multitasking, Windows 10 Home",8 GB,0.053,0.7042,1.2311
"8 GB, AMD, Processing & Multitasking","DDR4, Windows 10 Home",0.0561,0.5096,1.2304
"DDR4, Performance",Processing & Multitasking,0.0646,0.9683,1.2302
Laptop,"DDR4, Intel",0.1049,0.7557,1.23
2 in 1 Laptop,Processing & Multitasking,0.0636,0.9677,1.2295
"DDR4, Laptop","8 GB, Intel",0.0678,0.5079,1.2295
"DDR4, Thin and Light Laptop, Windows 11 Home","8 GB, Processing & Multitasking",0.1081,0.5574,1.2294
"8 GB, Core i5, Processing & Multitasking, Windows 10 Home",Thin and Light Laptop,0.0636,0.6316,1.2293
"8 GB, Core i5, Intel, Processing & Multitasking, Windows 10 Home",Thin and Light Laptop,0.0636,0.6316,1.2293
"Core i7, DDR4","Intel, Processing & Multitasking",0.0572,0.7013,1.2282
"Core i3, Intel, Windows 10 Home",8 GB,0.0625,0.7024,1.2279
"Core i3, DDR4, Intel, Windows 10 Home",8 GB,0.0625,0.7024,1.2279
"Core i3, DDR4, Windows 10 Home",8 GB,0.0625,0.7024,1.2279
"Core i3, Windows 10 Home",8 GB,0.0625,0.7024,1.2279
"Everyday Use, Laptop","DDR4, Intel",0.0519,0.7538,1.2269
"Core i5, Intel, Windows 10 Home","Processing & Multitasking, Thin and Light Laptop",0.0847,0.5714,1.226
"Core i5, Windows 10 Home","Processing & Multitasking, Thin and Light Laptop",0.0847,0.5714,1.226
"Core i5, Intel","8 GB, DDR4, Processing & Multitasking",0.16,0.5207,1.2258
Core i5,"8 GB, DDR4, Processing & Multitasking",0.16,0.5207,1.2258
Windows 10,"DDR4, Intel",0.0742,0.7527,1.2251
"Intel, Windows 11 Home",Thin and Light Laptop,0.178,0.6292,1.2247
"8 GB, DDR4, Intel, Processing & Multitasking, Windows 10 Home",Thin and Light Laptop,0.1006,0.6291,1.2246
"DDR4, Intel, Windows 10 Home","8 GB, Processing & Multitasking",0.16,0.5551,1.2244
"Intel, Performance",Processing & Multitasking,0.0561,0.9636,1.2243
"AMD, DDR4, Processing & Multitasking, Thin and Light Laptop",8 GB,0.0667,0.7,1.2237
"DDR4, Windows 10",8 GB,0.0667,0.7,1.2237
"8 GB, Intel, Windows 10 Home","DDR4, Processing & Multitasking",0.16,0.8251,1.2228
"AMD, Ryzen 5 Hexa Core","Processing & Multitasking, Thin and Light Laptop",0.0519,0.5698,1.2224
Ryzen 5 Hexa Core,"Processing & Multitasking, Thin and Light Laptop",0.0519,0.5698,1.2224
"Thin and Light Laptop, Windows 10 Home","8 GB, Intel",0.107,0.505,1.2224
"Core i5, DDR4, Processing & Multitasking",8 GB,0.16,0.6991,1.2221
"Core i5, DDR4, Intel, Processing & Multitasking",8 GB,0.16,0.6991,1.2221
"8 GB, Core i5, Intel, Windows 10 Home","DDR4, Processing & Multitasking",0.0943,0.8241,1.2212
"8 GB, Core i5, Windows 10 Home","DDR4, Processing & Multitasking",0.0943,0.8241,1.2212
"DDR4, Everyday Use, Processing & Multitasking","8 GB, Intel",0.0604,0.5044,1.221
"Core i5, Intel","Processing & Multitasking, Thin and Light Laptop",0.1748,0.569,1.2207
Core i5,"Processing & Multitasking, Thin and Light Laptop",0.1748,0.569,1.2207
"DDR4, Intel, Thin and Light Laptop",8 GB,0.2299,0.6977,1.2198
"8 GB, Transparent Silver",Processing & Multitasking,0.0508,0.96,1.2197
"2 in 1 Laptop, Intel",Processing & Multitasking,0.0508,0.96,1.2197
"8 GB, Core i5, Processing & Multitasking",Thin and Light Laptop,0.1102,0.6265,1.2194
"8 GB, Core i5, Intel, Processing & Multitasking",Thin and Light Laptop,0.1102,0.6265,1.2194
"Core i3, Everyday Use",Thin and Light Laptop,0.0551,0.6265,1.2194
"Core i3, Everyday Use, Intel",Thin and Light Laptop,0.0551,0.6265,1.2194
"8 GB, Thin and Light Laptop","DDR4, Processing & Multitasking",0.2744,0.8222,1.2185
"8 GB, Intel, Windows 11 Home","Processing & Multitasking, Thin and Light Laptop",0.089,0.5676,1.2177
"8 GB, AMD, Processing & Multitasking",Thin and Light Laptop,0.0689,0.625,1.2165
"8 GB, Processing & Multitasking, Windows 10 Home",Thin and Light Laptop,0.1409,0.6244,1.2154
"8 GB, AMD, DDR4, Processing & Multitasking",Thin and Light Laptop,0.0667,0.6238,1.2141
"8 GB, Thin and Light Laptop","DDR4, Intel, Processing & Multitasking",0.196,0.5873,1.2132
"Core i3, Thin and Light Laptop","DDR4, Processing & Multitasking",0.1144,0.8182,1.2125
"Core i3, Intel, Thin and Light Laptop","DDR4, Processing & Multitasking",0.1144,0.8182,1.2125
"Core i5, DDR4, Processing & Multitasking, Windows 10 Home",Thin and Light Laptop,0.0752,0.6228,1.2122
"Core i5, DDR4, Intel, Processing & Multitasking, Windows 10 Home",Thin and Light Laptop,0.0752,0.6228,1.2122
"8 GB, Core i5, Intel",Windows 10 Home,0.1144,0.5482,1.212
"8 GB, Core i5",Windows 10 Home,0.1144,0.5482,1.212
"8 GB, DDR4, Intel, Windows 11 Home","Processing & Multitasking, Thin and Light Laptop",0.0784,0.5649,1.2119
"Intel, Thin and Light Laptop","8 GB, Processing & Multitasking",0.2119,0.5495,1.2119
"8 GB, DDR4, Everyday Use, Processing & Multitasking",Thin and Light Laptop,0.054,0.622,1.2106
"Intel, Windows 10 Home","8 GB, DDR4, Processing & Multitasking",0.16,0.5136,1.2091
"8 GB, DDR4, Windows 11 Home","Processing & Multitasking, Thin and Light Laptop",0.1081,0.5635,1.209
"8 GB, Everyday Use, Intel",Thin and Light Laptop,0.0763,0.6207,1.2081
"Everyday Use, Intel, Processing & Multitasking","8 GB, DDR4",0.0604,0.6552,1.208
"8 GB, Windows 11 Home","Processing & Multitasking, Thin and Light Laptop",0.1186,0.5628,1.2075
"Everyday Use, Intel, Windows 11 Home","8 GB, DDR4",0.0583,0.6548,1.2072
"Core i5, Windows 10 Home","DDR4, Processing & Multitasking",0.1208,0.8143,1.2067
"Core i5, Intel, Windows 10 Home","DDR4, Processing & Multitasking",0.1208,0.8143,1.2067
"8 GB, Core i5, Intel, Thin and Light Laptop","DDR4, Processing & Multitasking",0.0975,0.8142,1.2065
"8 GB, Core i5, Thin and Light Laptop","DDR4, Processing & Multitasking",0.0975,0.8142,1.2065
"Intel, Transparent Silver",Processing & Multitasking,0.0593,0.9492,1.2059
Core i7,Windows 10 Home,0.0636,0.5455,1.2059
"Core i7, Intel",Windows 10 Home,0.0636,0.5455,1.2059
Transparent Silver,Processing & Multitasking,0.0773,0.9481,1.2045
"Everyday Use, Processing & Multitasking","DDR4, Thin and Light Laptop",0.0689,0.5372,1.2045
"DDR4, Processing & Multitasking, Thin and Light Laptop",8 GB,0.2744,0.6888,1.2042
"8 GB, Core i5, DDR4, Intel, Thin and Light Laptop",Windows 10 Home,0.0583,0.5446,1.2039
"8 GB, Core i5, DDR4, Thin and Light Laptop",Windows 10 Home,0.0583,0.5446,1.2039
"DDR4, Thin and Light Laptop, Windows 11 Home",8 GB,0.1335,0.6885,1.2036
Windows 10,8 GB,0.0678,0.6882,1.203
"8 GB, Core i5, DDR4, Intel, Processing & Multitasking, Windows 10 Home",Thin and Light Laptop,0.0583,0.618,1.2028
"8 GB, Core i5, DDR4, Processing & Multitasking, Windows 10 Home",Thin and Light Laptop,0.0583,0.618,1.2028
"8 GB, DDR4, Processing & Multitasking, Windows 10 Home",Thin and Light Laptop,0.1335,0.6176,1.2022
"Core i5, DDR4, Thin and Light Laptop",8 GB,0.107,0.6871,1.2011
"Core i5, DDR4, Intel, Thin and Light Laptop",8 GB,0.107,0.6871,1.2011
"DDR4, Intel, Thin and Light Laptop, Windows 11 Home",8 GB,0.0996,0.6861,1.1995
"16 GB, Gaming Laptop",Windows 10 Home,0.0678,0.5424,1.1991
"DDR4, Transparent Silver",Processing & Multitasking,0.071,0.9437,1.1989
"DDR4, Intel, Transparent Silver",Processing & Multitasking,0.053,0.9434,1.1986
"Core i5, Intel, Thin and Light Laptop",Processing & Multitasking,0.1748,0.9429,1.1979
"Core i5, Thin and Light Laptop",Processing & Multitasking,0.1748,0.9429,1.1979
"AMD, DDR4, Processing & Multitasking",Windows 10 Home,0.0964,0.5417,1.1975
"Intel, Thin and Light Laptop","8 GB, DDR4, Processing & Multitasking",0.196,0.5082,1.1965
"AMD, Thin and Light Laptop, Windows 10 Home",Processing & Multitasking,0.0508,0.9412,1.1958
"AMD, Thin and Light Laptop","8 GB, DDR4",0.0742,0.6481,1.195
"8 GB, Windows 10 Home","DDR4, Processing & Multitasking",0.2161,0.8063,1.1949
Natural Silver,Processing & Multitasking,0.0657,0.9394,1.1935
"DDR4, Natural Silver",Processing & Multitasking,0.0646,0.9385,1.1923
Entertainment,Processing & Multitasking,0.0646,0.9385,1.1923
"Core i3, DDR4, Everyday Use",Thin and Light Laptop,0.0519,0.6125,1.1922
"DDR4, Everyday Use, Intel, Processing & Multitasking",Thin and Light Laptop,0.0519,0.6125,1.1922
"Core i3, DDR4, Everyday Use, Intel",Thin and Light Laptop,0.0519,0.6125,1.1922
"Everyday Use, Intel","DDR4, Thin and Light Laptop",0.089,0.5316,1.1921
"8 GB, Core i5, Windows 10 Home","Processing & Multitasking, Thin and Light Laptop",0.0636,0.5556,1.1919
"8 GB, Core i5, Intel, Windows 10 Home","Processing & Multitasking, Thin and Light Laptop",0.0636,0.5556,1.1919
"DDR4, Intel, Thin and Light Laptop, Windows 11 Home","8 GB, Processing & Multitasking",0.0784,0.5401,1.1914
"8 GB, AMD, Processing & Multitasking",Windows 10 Home,0.0593,0.5385,1.1904
4 GB,"Intel, Processing & Multitasking",0.0742,0.6796,1.1903
"Core i5, Processing & Multitasking, Thin and Light Laptop, Windows 11 Home","DDR4, Intel",0.0519,0.7313,1.1903
"Thin and Light Laptop, Windows 10 Home","8 GB, DDR4",0.1367,0.645,1.1892
"Thin and Light Laptop, Windows 10 Home",8 GB,0.1441,0.68,1.1887
"Intel, Thin and Light Laptop, Windows 10 Home","8 GB, DDR4",0.1017,0.6443,1.1879
Core i5,8 GB,0.2087,0.6793,1.1875
"Core i5, Intel",8 GB,0.2087,0.6793,1.1875
"Processing & Multitasking, Thin and Light Laptop, Windows 10 Home",8 GB,0.1409,0.6786,1.1862
"8 GB, Core i5, DDR4, Processing & Multitasking",Thin and Light Laptop,0.0975,0.6093,1.1859
"8 GB, Core i5, DDR4, Intel, Processing & Multitasking",Thin and Light Laptop,0.0975,0.6093,1.1859
"DDR4, Entertainment",Processing & Multitasking,0.0593,0.9333,1.1858
"8 GB, DDR4, Everyday Use, Intel",Thin and Light Laptop,0.071,0.6091,1.1855
"Processing & Multitasking, Thin and Light Laptop, Windows 10 Home","8 GB, DDR4",0.1335,0.6429,1.1853
"Intel, Thin and Light Laptop, Windows 10 Home",8 GB,0.107,0.6779,1.185
"Intel, Processing & Multitasking",Thin and Light Laptop,0.3475,0.6085,1.1844
Thin and Light Laptop,"Intel, Processing & Multitasking",0.3475,0.6763,1.1844
"Core i5, DDR4, Thin and Light Laptop",Processing & Multitasking,0.1451,0.932,1.1841
"Core i5, DDR4, Intel, Thin and Light Laptop",Processing & Multitasking,0.1451,0.932,1.1841
"Intel, Processing & Multitasking, Thin and Light Laptop, Windows 10 Home","8 GB, DDR4",0.1006,0.6419,1.1835
"8 GB, Intel, Thin and Light Laptop","DDR4, Processing & Multitasking",0.196,0.7974,1.1817
"Intel, Processing & Multitasking, Thin and Light Laptop, Windows 10 Home",8 GB,0.1059,0.6757,1.1812
"8 GB, Everyday Use",Thin and Light Laptop,0.0996,0.6065,1.1804
"Intel, Processing & Multitasking, Windows 10 Home","DDR4, Thin and Light Laptop",0.1388,0.5261,1.1797
"DDR4, Windows 11 Home",Thin and Light Laptop,0.1939,0.606,1.1794
Everyday Use,"DDR4, Intel",0.1589,0.7246,1.1794
"Everyday Use, Thin and Light Laptop","DDR4, Intel",0.089,0.7241,1.1786
"Intel, Windows 10 Home","8 GB, Processing & Multitasking",0.1663,0.534,1.1778
"8 GB, Intel, Windows 10 Home","DDR4, Thin and Light Laptop",0.1017,0.5246,1.1763
"DDR4, Intel, Processing & Multitasking, Thin and Light Laptop",8 GB,0.196,0.6727,1.176
"Core i5, Intel",Thin and Light Laptop,0.1854,0.6034,1.1745
Core i5,Thin and Light Laptop,0.1854,0.6034,1.1745
"Everyday Use, Processing & Multitasking",Thin and Light Laptop,0.0773,0.6033,1.1743
"8 GB, Core i5, Thin and Light Laptop",Windows 10 Home,0.0636,0.531,1.1739
"Core i5, DDR4, Processing & Multitasking, Thin and Light Laptop",8 GB,0.0975,0.6715,1.1739
"Core i5, DDR4, Intel, Processing & Multitasking, Thin and Light Laptop",8 GB,0.0975,0.6715,1.1739
"8 GB, Core i5, Intel, Thin and Light Laptop",Windows 10 Home,0.0636,0.531,1.1739
"AMD, Processing & Multitasking, Thin and Light Laptop","8 GB, DDR4",0.0667,0.6364,1.1733
"8 GB, Intel, Windows 10 Home","Processing & Multitasking, Thin and Light Laptop",0.1059,0.5464,1.1724
"Core i5, DDR4, Intel, Windows 10 Home","Processing & Multitasking, Thin and Light Laptop",0.0752,0.5462,1.1717
"Core i5, DDR4, Windows 10 Home","Processing & Multitasking, Thin and Light Laptop",0.0752,0.5462,1.1717
Thin and Light Laptop,"DDR4, Intel, Processing & Multitasking",0.2913,0.567,1.1712
"DDR4, Intel, Processing & Multitasking",Thin and Light Laptop,0.2913,0.6018,1.1712
"Core i5, Intel, Processing & Multitasking",8 GB,0.1758,0.6694,1.1701
"Core i5, Processing & Multitasking",8 GB,0.1758,0.6694,1.1701
Everyday Use,"DDR4, Thin and Light Laptop",0.1144,0.5217,1.1699
"8 GB, Core i5, Thin and Light Laptop",Processing & Multitasking,0.1102,0.9204,1.1693
"8 GB, Core i5, Intel, Thin and Light Laptop",Processing & Multitasking,0.1102,0.9204,1.1693
"16 GB, DDR4, Thin and Light Laptop","Intel, Processing & Multitasking",0.0551,0.6667,1.1676
"Core i5, DDR4, Intel, Processing & Multitasking",Windows 10 Home,0.1208,0.5278,1.1668
"Core i5, DDR4, Processing & Multitasking",Windows 10 Home,0.1208,0.5278,1.1668
Windows 11 Home,Thin and Light Laptop,0.2331,0.5995,1.1668
"AMD, Thin and Light Laptop",8 GB,0.0763,0.6667,1.1654
"Intel, Windows 11 Home","Processing & Multitasking, Thin and Light Laptop",0.1536,0.5431,1.1651
"AMD, Thin and Light Laptop",Processing & Multitasking,0.1049,0.9167,1.1646
"DDR4, Intel, Processing & Multitasking, Windows 10 Home",8 GB,0.16,0.6652,1.1629
"8 GB, Processing & Multitasking, Thin and Light Laptop, Windows 10 Home","DDR4, Intel",0.1006,0.7143,1.1626
"Core i5, Thin and Light Laptop","DDR4, Processing & Multitasking",0.1451,0.7829,1.1602
